Symbol,Date,Open,High,Low,Close,Volume
FCCL-MAR,20190308,21.12,21.25,20.92,21.04,1410000
NETSOL-MAR,20190308,82.60,83.05,81.70,82.08,209500
UBL-MAR,20190308,136.16,139.00,136.16,137.33,98500
HBL-MAR,20190308,136.50,136.93,135.50,135.75,672500
HBL-CMAR,20190308,0.00,0.00,0.00,137.07,0
ATRL-CMAR,20190308,0.00,0.00,0.00,118.72,0
BAFL-CMAR,20190308,0.00,0.00,0.00,47.00,0
ENGRO-CMAR,20190308,0.00,0.00,0.00,323.11,0
FCCL-CMAR,20190308,0.00,0.00,0.00,21.23,0
FFBL-CMAR,20190308,0.00,0.00,0.00,39.08,0
FFC-CMAR,20190308,0.00,0.00,0.00,106.87,0
HUBC-CMAR,20190308,0.00,0.00,0.00,83.94,0
LUCK-CMAR,20190308,0.00,0.00,0.00,463.65,0
MCB-CMAR,20190308,0.00,0.00,0.00,198.00,0
NML-CMAR,20190308,0.00,0.00,0.00,139.09,0
PPL-CMAR,20190308,0.00,0.00,0.00,179.53,0
PRL-CMAR,20190308,0.00,0.00,0.00,22.77,0
PSO-CMAR,20190308,0.00,0.00,0.00,223.04,0
UBL-CMAR,20190308,0.00,0.00,0.00,138.55,0
HBL-CMAY,20190308,0.00,0.00,0.00,140.52,0
ATRL-CMAY,20190308,0.00,0.00,0.00,121.70,0
BAFL-CMAY,20190308,0.00,0.00,0.00,48.18,0
BAHL-CMAY,20190308,0.00,0.00,0.00,88.47,0
ENGRO-CMAY,20190308,0.00,0.00,0.00,331.23,0
FCCL-CMAY,20190308,0.00,0.00,0.00,21.76,0
FFBL-CMAY,20190308,0.00,0.00,0.00,40.06,0
FFC-CMAY,20190308,0.00,0.00,0.00,109.56,0
HUBC-CMAY,20190308,0.00,0.00,0.00,86.05,0
LUCK-CMAY,20190308,0.00,0.00,0.00,475.30,0
MCB-CMAY,20190308,0.00,0.00,0.00,202.98,0
NML-CMAY,20190308,0.00,0.00,0.00,142.59,0
PPL-CMAY,20190308,0.00,0.00,0.00,184.05,0
PRL-CMAY,20190308,0.00,0.00,0.00,23.34,0
PSO-CMAY,20190308,0.00,0.00,0.00,228.65,0
UBL-CMAY,20190308,0.00,0.00,0.00,142.03,0
